INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTranTechCost,,,,,,
,,,,,,
region,supplysector,tranSubsector,stub-technology,year,minicam.non.energy.input,input-cost
NE,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
NH,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
NJ,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
NM,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
NV,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
NY,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
OH,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
OK,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
OR,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
PA,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
